,rider,team,year,age,team_points,key,best-classic-riders,top-gc-riders,top-sprinters,top-time-trial-riders,profile_type,profile_score,profile_vert,scorito,target
694,Gradek Kamil,CCC Team,2019,28,1152,Gradek Kamil-2019,61.0,61.0,46.0,138.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,0.0
696,Mareczko Jakub,CCC Team,2019,25,1152,Mareczko Jakub-2019,,,702.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,136.0,54.0
697,Ventoso Francisco José,CCC Team,2019,37,1152,Ventoso Francisco José-2019,18.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,42.0,2.0
699,Ghebreigzabhier Amanuel,Team Dimension Data,2019,24,1705,Ghebreigzabhier Amanuel-2019,93.0,161.0,76.8,,2.9523809523809526,138.1904761904762,2478.0476190476193,,8.0
701,Gibbons Ryan,Team Dimension Data,2019,24,1705,Gibbons Ryan-2019,,45.0,144.2,25.0,2.9523809523809526,138.1904761904762,2478.0476190476193,118.0,110.0
702,Nizzolo Giacomo,Team Dimension Data,2019,30,1705,Nizzolo Giacomo-2019,210.0,23.0,676.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,124.0
703,Wyss Danilo,Team Dimension Data,2019,33,1705,Wyss Danilo-2019,20.0,,60.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,8.0
704,Renshaw Mark,Team Dimension Data,2019,36,1705,Renshaw Mark-2019,,,41.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,0.0
705,Gasparotto Enrico,Team Dimension Data,2019,37,1705,Gasparotto Enrico-2019,306.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,12.0
706,Davies Scott,Team Dimension Data,2019,23,1705,Davies Scott-2019,16.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,4.0
707,Madouas Valentin,Groupama - FDJ,2019,22,2421,Madouas Valentin-2019,322.0,135.0,166.0,14.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,248.0
708,Démare Arnaud,Groupama - FDJ,2019,27,2421,Démare Arnaud-2019,685.0,130.0,1015.0,76.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,524.0
709,Le Gac Olivier,Groupama - FDJ,2019,25,2421,Le Gac Olivier-2019,115.0,73.0,87.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,74.0
710,Ludvigsson Tobias,Groupama - FDJ,2019,28,2421,Ludvigsson Tobias-2019,16.0,40.0,,45.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,118.0
711,Sinkeldam Ramon,Groupama - FDJ,2019,30,2421,Sinkeldam Ramon-2019,109.0,33.0,80.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,60.0
712,Scotson Miles,Groupama - FDJ,2019,25,2421,Scotson Miles-2019,10.0,32.0,,122.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,52.0
713,Guarnieri Jacopo,Groupama - FDJ,2019,31,2421,Guarnieri Jacopo-2019,44.0,30.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,80.0
714,Konovalovas Ignatas,Groupama - FDJ,2019,33,2421,Konovalovas Ignatas-2019,75.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,52.0
715,Canola Marco,Nippo Vini Fantini Faizanè,2019,30,1298,Canola Marco-2019,325.0,97.0,338.5,50.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,100.0
716,Lobato Juan José,Nippo Vini Fantini Faizanè,2019,30,1298,Lobato Juan José-2019,247.0,,248.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,58.0
717,Cima Damiano,Nippo Vini Fantini Faizanè,2019,25,1298,Cima Damiano-2019,,,195.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,117.0
718,Lonardi Giovanni,Nippo Vini Fantini Faizanè,2019,22,1298,Lonardi Giovanni-2019,30.0,,115.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,90.0
719,Bagioli Nicola,Nippo Vini Fantini Faizanè,2019,24,1298,Bagioli Nicola-2019,66.0,,106.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,10.0
720,Santaromita Ivan,Nippo Vini Fantini Faizanè,2019,35,1298,Santaromita Ivan-2019,129.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,28.0
721,Nishimura Hiroki,Nippo Vini Fantini Faizanè,2019,24,1298,Nishimura Hiroki-2019,,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,10.0
722,Hatsuyama Sho,Nippo Vini Fantini Faizanè,2019,30,1298,Hatsuyama Sho-2019,,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,10.0
723,Kluge Roger,Lotto Soudal,2019,33,2095,Kluge Roger-2019,10.0,80.0,,31.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,50.0
724,Campenaerts Victor,Lotto Soudal,2019,27,2095,Campenaerts Victor-2019,,70.0,,916.0,2.9523809523809526,138.1904761904762,2478.0476190476193,86.0,110.0
725,De Gendt Thomas,Lotto Soudal,2019,32,2095,De Gendt Thomas-2019,,65.0,,94.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,112.0
726,Hansen Adam,Lotto Soudal,2019,38,2095,Hansen Adam-2019,21.0,45.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,10.0,20.0
728,Ewan Caleb,Lotto Soudal,2019,24,2095,Ewan Caleb-2019,329.0,32.0,640.2,,2.9523809523809526,138.1904761904762,2478.0476190476193,,313.0
