name,gc_result,giro_w,stage_result,stage_wins,top10,giro_total,year
Sagan Peter,42,-,1,12,12,4758,2018
Cavendish Mark,130,-,1,34,34,4371,2018
Valverde Alejandro,3,-,1,4,4,4135,2018
Nibali Vincenzo,1,1,1,6,6,2990,2018
Quintana Nairo,2,-,1,3,3,2901,2018
Bardet Romain,2,-,1,3,3,2863,2018
Greipel André,123,-,1,11,11,2800,2018
Thomas Geraint,1,1,1,3,3,2444,2018
Mollema Bauke,6,-,1,2,2,2292,2018
Kristoff Alexander,114,-,1,4,4,2283,2018
Boasson Hagen Edvald,53,-,1,3,3,2168,2018
Rolland Pierre,8,-,1,2,2,2066,2018
Martin Dan,6,-,1,2,2,2057,2018
Urán Rigoberto,2,-,1,1,1,1914,2018
Porte Richie,3,-,2,-,-,1887,2018
Kittel Marcel,161,-,1,14,14,1828,2018
Alaphilippe Julian,5,-,1,6,6,1678,2018
Landa Mikel,4,-,3,-,-,1610,2018
Dumoulin Tom,2,-,1,3,3,1605,2018
Roglič Primož,2,-,1,3,3,1577,2018
Van Avermaet Greg,28,-,1,2,2,1550,2018
Chavanel Sylvain,18,-,1,3,3,1509,2018
Barguil Warren,10,-,1,2,2,1377,2018
Matthews Michael,67,-,1,3,3,1310,2018
Degenkolb John,109,-,1,1,1,1289,2018
Van Garderen Tejay,5,-,2,-,-,1197,2018
Martin Tony,36,-,1,5,5,1175,2018
Kruijswijk Steven,3,-,3,-,-,1146,2018
Rojas José Joaquín,68,-,3,-,-,1112,2018
Gesink Robert,5,-,2,-,-,1094,2018
Fuglsang Jakob,7,-,2,-,-,1074,2018
Majka Rafał,19,-,1,3,3,1070,2018
Sánchez Luis León,10,-,1,4,4,1063,2018
Groenewegen Dylan,145,-,1,4,4,1051,2018
Bennati Daniele,75,-,1,2,2,1040,2018
Kwiatkowski Michał,11,-,1,1,1,1000,2018
Martin Guillaume,8,-,3,-,-,997,2018
Yates Adam,4,-,3,-,-,996,2018
Gilbert Philippe,38,-,1,1,1,992,2018
Bernal Egan,1,1,4,-,-,942,2018
Démare Arnaud,138,-,1,2,2,907,2018
Gallopin Tony,21,-,1,1,1,858,2018
Caruso Damiano,10,-,4,-,-,847,2018
Nieve Mikel,12,-,3,-,-,843,2018
Ten Dam Laurens,9,-,5,-,-,805,2018
Colbrelli Sonny,52,-,2,-,-,803,2018
De Gendt Thomas,40,-,1,2,2,764,2018
Stuyven Jasper,39,-,2,-,-,708,2018
Laporte Christophe,91,-,2,-,-,688,2018
Izagirre Ion,22,-,1,1,1,642,2018
Vuillermoz Alexis,13,-,1,1,1,617,2018
Pauwels Serge,13,-,2,-,-,601,2018
Impey Daryl,38,-,1,1,1,597,2018
Navarro Daniel,9,-,3,-,-,594,2018
Poels Wout,16,-,3,-,-,593,2018
Izagirre Gorka,22,-,2,-,-,561,2018
Oss Daniel,69,-,4,-,-,545,2018
Gerrans Simon,77,-,1,2,2,539,2018
Geschke Simon,25,-,1,1,1,520,2018
Zakarin Ilnur,9,-,1,1,1,512,2018
Gaudu David,11,-,4,-,-,511,2018
Kangert Tanel,16,-,14,-,-,467,2018
Moinard Amaël,14,-,5,-,-,466,2018
Renshaw Mark,142,-,2,-,-,464,2018
Taaramäe Rein,11,-,3,-,-,451,2018
Jungels Bob,11,-,4,-,-,436,2018
Burghardt Marcus,58,-,1,1,1,421,2018
Haussler Heinrich,97,-,1,1,1,411,2018
Simon Julien,87,-,6,-,-,394,2018
Pellizotti Franco,47,-,2,-,-,393,2018
Frank Mathias,8,-,5,-,-,378,2018
Benoot Tiesj,20,-,2,-,-,373,2018
Kragh Andersen Søren,52,-,1,2,2,370,2018
Herrada Jesús,20,-,2,-,-,368,2018
Latour Pierre,13,-,2,-,-,354,2018
Erviti Imanol,67,-,2,-,-,348,2018
Vanendert Jelle,19,-,1,1,1,348,2018
Küng Stefan,49,-,2,-,-,340,2018
Castroviejo Jonathan,23,-,6,-,-,340,2018
Naesen Oliver,61,-,4,-,-,333,2018
Bodnar Maciej,112,-,1,1,1,326,2018
Calmejane Lilian,30,-,1,1,1,306,2018
Bouet Maxime,42,-,2,-,-,303,2018
Politt Nils,50,-,1,1,1,285,2018
Cort Magnus,56,-,1,1,1,284,2018
Arndt Nikias,67,-,2,-,-,276,2018
Gaviria Fernando,-,-,1,2,2,274,2018
Valgren Michael,44,-,4,-,-,260,2018
Schär Michael,43,-,17,-,-,250,2018
Vanmarcke Sep,104,-,7,-,-,249,2018
Skujiņš Toms,71,-,2,-,-,246,2018
Theuns Edward,88,-,5,-,-,243,2018
Pozzovivo Domenico,18,-,5,-,-,237,2018
Sicard Romain,31,-,7,-,-,233,2018
Pasqualon Andrea,88,-,6,-,-,228,2018
Fraile Omar,57,-,1,1,1,228,2018
De Kort Koen,70,-,9,-,-,226,2018
Soler Marc,21,-,7,-,-,225,2018
Edet Nicolas,43,-,6,-,-,223,2018
Marcato Marco,67,-,7,-,-,209,2018
Keukeleire Jens,59,-,3,-,-,202,2018
Martínez Daniel Felipe,28,-,1,1,1,199,2018
Richeze Maximiliano,135,-,4,-,-,192,2018
Terpstra Niki,94,-,5,-,-,192,2018
Vichot Arthur,41,-,6,-,-,191,2018
Clarke Simon,61,-,9,-,-,186,2018
Janse Van Rensburg Reinardt,96,-,8,-,-,183,2018
Koren Kristijan,69,-,14,-,-,179,2018
Mühlberger Gregor,25,-,3,-,-,174,2018
Vachon Florian,88,-,10,-,-,174,2018
Đurasek Kristijan,46,-,4,-,-,173,2018
Durbridge Luke,100,-,7,-,-,172,2018
Turgis Anthony,73,-,9,-,-,168,2018
Molard Rudy,33,-,14,-,-,162,2018
Ferrari Roberto,138,-,5,-,-,160,2018
Amador Andrey,50,-,11,-,-,159,2018
Sieberg Marcel,120,-,14,-,-,152,2018
Lampaert Yves,80,-,3,-,-,148,2018
Rowe Luke,128,-,7,-,-,147,2018
Gesbert Élie,61,-,7,-,-,144,2018
Martens Paul,80,-,5,-,-,135,2018
Bauer Jack,83,-,10,-,-,128,2018
Atapuma Darwin,41,-,2,-,-,126,2018
Bernard Julien,30,-,10,-,-,118,2018
Hardy Romain,26,-,10,-,-,116,2018
De Buyst Jasper,118,-,10,-,-,105,2018
Dupont Timothy,131,-,6,-,-,104,2018
Guarnieri Jacopo,144,-,7,-,-,104,2018
Kišerlovski Robert,31,-,5,-,-,104,2018
Boudat Thomas,89,-,6,-,-,102,2018
Gruzdev Dmitriy,113,-,22,-,-,100,2018
Vermote Julien,75,-,16,-,-,100,2018
Slagter Tom-jelte,56,-,9,-,-,99,2018
Hayman Mathew,108,-,12,-,-,82,2018
Phinney Taylor,136,-,9,-,-,82,2018
Smith Dion,97,-,9,-,-,80,2018
Perez Anthony,85,-,13,-,-,79,2018
Grellier Fabien,117,-,14,-,-,77,2018
Jansen Amund Grøndahl,128,-,15,-,-,76,2018
Offredo Yoann,91,-,22,-,-,75,2018
