,rider,team,year,age,race,team_points,key,best-classic-riders,top-gc-riders,top-sprinters,top-time-trial-riders,profile_type,profile_score,profile_vert,scorito,target,strength,finished
315,Boaro Manuele,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Boaro Manuele-2017,,90.0,,192.0,2.9523809523809526,134.28571428571428,2570.6190476190477,32.0,10.0,53.0,0.3636363636363636
305,Herrada José,Movistar Team,2017,,,3999.0,Herrada José-2017,51.0,48.0,50.0,15.0,2.9523809523809526,134.28571428571428,2570.6190476190477,18.0,46.0,54.0,0.3636363636363636
617,Pozzato Filippo,Wilier Triestina - Selle Italia,2017,,,1391.0,Pozzato Filippo-2017,299.0,,147.0,,2.9523809523809526,134.28571428571428,2570.6190476190477,0.0,0.0,75.0,0.3636363636363636
531,Kišerlovski Robert,Team Katusha Alpecin,2017,30.0,tour-de-france,1844.0,Kišerlovski Robert-2017,15.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,0.0,42.0,0.3636363636363636
590,Rovny Ivan,Gazprom-RusVelo,2017,,,876.0,Rovny Ivan-2017,15.0,45.0,,,2.9523809523809526,134.28571428571428,2570.6190476190477,74.0,0.0,74.0,0.3636363636363636
529,Belkov Maxim,Team Katusha Alpecin,2017,,,1844.0,Belkov Maxim-2017,,,,25.0,2.9523809523809526,134.28571428571428,2570.6190476190477,10.0,0.0,42.0,0.3636363636363636
553,Monfort Maxime,Lotto Soudal,2017,,,2722.0,Monfort Maxime-2017,,,,35.0,2.9523809523809526,134.28571428571428,2570.6190476190477,131.0,134.0,51.0,0.3636363636363636
513,Clement Stef,Team LottoNL-Jumbo,2017,,,2117.0,Clement Stef-2017,,,,104.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,20.0,49.0,0.3636363636363636
1667,Villella Davide,Movistar Team,2021,,,1241.0,Villella Davide-2021,47.0,32.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,34.0,47.0,0.3571428571428571
1517,Dombrowski Joe,UAE Team Emirates,2021,,,1562.0,Dombrowski Joe-2021,,20.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,96.0,24.0,42.0,0.3571428571428571
1685,Nizzolo Giacomo,Team Qhubeka ASSOS,2021,,,1654.0,Nizzolo Giacomo-2021,433.0,5.0,533.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,483.0,78.0,75.0,0.3571428571428571
