,rider,team,year,age,race,team_points,key,best-classic-riders,top-gc-riders,top-sprinters,top-time-trial-riders,profile_type,profile_score,profile_vert,scorito,target,strength,finished
1323,De Buyst Jasper,Lotto Soudal,2020,26.0,tour-de-france,495.0,De Buyst Jasper-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,36.0,36.0,
1352,Yates Adam,Mitchelton-Scott,2020,28.0,tour-de-france,1737.0,Yates Adam-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,500.0,57.0,
1355,Mezgec Luka,Mitchelton-Scott,2020,32.0,tour-de-france,1737.0,Mezgec Luka-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,30.0,68.0,57.0,
1370,Martínez Daniel Felipe,EF Pro Cycling,2020,24.0,tour-de-france,736.0,Martínez Daniel Felipe-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,0.0,0.0,30.0,
1371,Carthy Hugh,EF Pro Cycling,2020,26.0,tour-de-france,736.0,Carthy Hugh-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,16.0,30.0,
1383,Mohorič Matej,Bahrain - McLaren,2020,25.0,tour-de-france,717.0,Mohorič Matej-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,48.0,34.0,36.0,
1386,Landa Mikel,Bahrain - McLaren,2020,30.0,tour-de-france,717.0,Landa Mikel-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,89.0,389.0,36.0,
1399,Hirt Jan,CCC Team,2020,29.0,tour-de-france,1016.0,Hirt Jan-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,112.0,57.0,
1403,Geschke Simon,CCC Team,2020,34.0,tour-de-france,1016.0,Geschke Simon-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,130.0,57.0,
1447,Hermans Ben,Israel Start-Up Nation,2020,34.0,tour-de-france,583.0,Hermans Ben-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,72.0,40.0,
1448,Greipel André,Israel Start-Up Nation,2020,38.0,tour-de-france,583.0,Greipel André-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,335.0,357.0,40.0,
1458,Verona Carlos,Movistar Team,2020,27.0,tour-de-france,365.0,Verona Carlos-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,258.0,28.0,38.0,
1460,Rojas José Joaquín,Movistar Team,2020,35.0,tour-de-france,365.0,Rojas José Joaquín-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,36.0,44.0,38.0,
1488,Pinot Thibaut,Groupama - FDJ,2020,30.0,tour-de-france,941.0,Pinot Thibaut-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,468.0,34.0,
1489,Molard Rudy,Groupama - FDJ,2020,30.0,tour-de-france,941.0,Molard Rudy-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,10.0,34.0,
1490,Reichenbach Sébastien,Groupama - FDJ,2020,31.0,tour-de-france,941.0,Reichenbach Sébastien-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,142.0,34.0,
1491,Ladagnous Matthieu,Groupama - FDJ,2020,35.0,tour-de-france,941.0,Ladagnous Matthieu-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,10.0,34.0,
1492,Bonnet William,Groupama - FDJ,2020,38.0,tour-de-france,941.0,Bonnet William-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,10.0,34.0,
1514,Devenyns Dries,Deceuninck - Quick Step,2021,37.0,tour-de-france,3038.0,Devenyns Dries-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,344.0,43.0,
1529,Costa Rui,UAE Team Emirates,2021,34.0,tour-de-france,1562.0,Costa Rui-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,200.0,42.0,
1543,Mezgec Luka,Team BikeExchange,2021,32.0,tour-de-france,1263.0,Mezgec Luka-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,30.0,68.0,40.0,
1553,Teuns Dylan,Bahrain - Victorious,2021,29.0,tour-de-france,3186.0,Teuns Dylan-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,22.0,77.0,
1585,Fraile Omar,Astana - Premier Tech,2021,30.0,tour-de-france,2166.0,Fraile Omar-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,13.0,203.0,57.0,
1602,Thomas Geraint,INEOS Grenadiers,2021,35.0,tour-de-france,2917.0,Thomas Geraint-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,269.0,45.0,
1612,Pedersen Mads,Trek - Segafredo,2021,25.0,tour-de-france,2367.0,Pedersen Mads-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,18.0,70.0,
1613,Stuyven Jasper,Trek - Segafredo,2021,29.0,tour-de-france,2367.0,Stuyven Jasper-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,399.0,70.0,
1614,Bernard Julien,Trek - Segafredo,2021,29.0,tour-de-france,2367.0,Bernard Julien-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,22.0,70.0,
1615,Elissonde Kenny,Trek - Segafredo,2021,29.0,tour-de-france,2367.0,Elissonde Kenny-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,49.0,70.0,
1646,Kruijswijk Steven,Team Jumbo-Visma,2021,34.0,tour-de-france,1045.0,Kruijswijk Steven-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,509.0,158.0,32.0,
1659,Pöstlberger Lukas,BORA - hansgrohe,2021,29.0,tour-de-france,2007.0,Pöstlberger Lukas-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,249.0,45.0,
1660,Konrad Patrick,BORA - hansgrohe,2021,29.0,tour-de-france,2007.0,Konrad Patrick-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,133.0,45.0,
1661,Kelderman Wilco,BORA - hansgrohe,2021,30.0,tour-de-france,2007.0,Kelderman Wilco-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,180.0,45.0,
1673,Verona Carlos,Movistar Team,2021,28.0,tour-de-france,1241.0,Verona Carlos-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,258.0,28.0,47.0,
1749,Dillier Silvan,Alpecin-Fenix,2021,30.0,tour-de-france,1680.0,Dillier Silvan-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,26.0,74.0,60.0,
1750,Sbaragli Kristian,Alpecin-Fenix,2021,31.0,tour-de-france,1680.0,Sbaragli Kristian-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,123.0,130.0,60.0,
1765,Geschke Simon,Cofidis,2021,35.0,tour-de-france,937.0,Geschke Simon-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,130.0,45.0,
1773,Rota Lorenzo,Intermarché - Wanty - Gobert Matériaux,2021,26.0,tour-de-france,620.0,Rota Lorenzo-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,24.0,42.0,
1804,Woods Michael,Israel Start-Up Nation,2021,34.0,tour-de-france,1405.0,Woods Michael-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,112.0,47.0,
1807,Greipel André,Israel Start-Up Nation,2021,38.0,tour-de-france,1405.0,Greipel André-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,335.0,357.0,47.0,
1818,Konrad Patrick,Bora - Argon 18,2016,24.0,tour-de-france,,Konrad Patrick-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,,133.0,,
1819,Bennett Sam,Bora - Argon 18,2016,25.0,tour-de-france,,Bennett Sam-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,,301.0,,
1821,Benedetti Cesare,Bora - Argon 18,2016,28.0,tour-de-france,,Benedetti Cesare-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,,53.0,,
1823,Bárta Jan,Bora - Argon 18,2016,31.0,tour-de-france,,Bárta Jan-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,,85.0,,
1826,Yates Adam,ORICA-BikeExchange,2016,23.0,tour-de-france,,Yates Adam-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,,500.0,,
1837,Howes Alex,Cannondale-Drapac Pro Cycling Team,2016,28.0,tour-de-france,,Howes Alex-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,,16.0,,
1838,Koren Kristijan,Cannondale-Drapac Pro Cycling Team,2016,29.0,tour-de-france,,Koren Kristijan-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,,16.0,,
1839,Rolland Pierre,Cannondale-Drapac Pro Cycling Team,2016,29.0,tour-de-france,,Rolland Pierre-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,,187.0,,
1921,De Buyst Jasper,Lotto Soudal,2018,24.0,tour-de-france,,De Buyst Jasper-2018,,,,,3.142857142857143,135.47619047619048,2437.4761904761904,,36.0,,
1925,Marczyński Tomasz,Lotto Soudal,2018,34.0,tour-de-france,,Marczyński Tomasz-2018,,,,,3.142857142857143,135.47619047619048,2437.4761904761904,,36.0,,
1926,Greipel André,Lotto Soudal,2018,35.0,tour-de-france,,Greipel André-2018,,,,,3.142857142857143,135.47619047619048,2437.4761904761904,335.0,357.0,,
1942,Greipel André,Team Arkéa Samsic,2019,36.0,tour-de-france,,Greipel André-2019,,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,335.0,357.0,,
1962,Berhane Natnael,"Cofidis, Solutions Crédits",2019,28.0,tour-de-france,,Berhane Natnael-2019,,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,22.0,,
1975,Rolland Pierre,B&B Hotels - Vital Concept p/b KTM,2020,33.0,tour-de-france,,Rolland Pierre-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,187.0,,
1989,Quintana Nairo,Team Arkéa Samsic,2020,30.0,tour-de-france,,Quintana Nairo-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,584.0,,
1990,Rosa Diego,Team Arkéa Samsic,2020,31.0,tour-de-france,,Rosa Diego-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,49.0,,
1991,Anacona Winner,Team Arkéa Samsic,2020,32.0,tour-de-france,,Anacona Winner-2020,,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,56.0,,
1998,Rolland Pierre,B&B Hotels p/b KTM,2021,34.0,tour-de-france,,Rolland Pierre-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,187.0,,
2012,Quintana Nairo,Team Arkéa Samsic,2021,31.0,tour-de-france,,Quintana Nairo-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,584.0,,
2014,Rodríguez Cristián,TotalEnergies,2021,26.0,tour-de-france,,Rodríguez Cristián-2021,,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,0.0,0.0,,
1073,Dupont Hubert,AG2R La Mondiale,2019,,,1486.0,Dupont Hubert-2019,14.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,42.0,6.0,36.0,0.9166666666666666
460,Dupont Hubert,AG2R La Mondiale,2017,,,1603.0,Dupont Hubert-2017,,,38.0,,2.9523809523809526,134.28571428571428,2570.6190476190477,42.0,6.0,32.0,0.8181818181818182
1677,Pozzovivo Domenico,Team Qhubeka ASSOS,2021,,,1654.0,Pozzovivo Domenico-2021,,193.0,,22.0,2.8095238095238093,153.8095238095238,2261.7619047619046,340.0,464.0,75.0,0.7142857142857143
1283,Pozzovivo Domenico,NTT Pro Cycling,2020,37.0,tour-de-france,466.0,Pozzovivo Domenico-2020,,394.0,,18.0,2.8095238095238093,151.0952380952381,2630.904761904762,340.0,464.0,36.0,0.6923076923076923
1318,Hansen Adam,Lotto Soudal,2020,,,495.0,Hansen Adam-2020,11.0,41.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,36.0,10.0,36.0,0.6923076923076923
1101,Montaguti Matteo,Androni Giocattoli - Sidermec,2019,,,2502.0,Montaguti Matteo-2019,25.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,42.0,20.0,92.0,0.6666666666666666
1058,Capecchi Eros,Deceuninck - Quick Step,2019,,,4138.0,Capecchi Eros-2019,45.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,314.0,215.0,53.0,0.6666666666666666
1171,Hansen Adam,Lotto Soudal,2019,,,2095.0,Hansen Adam-2019,21.0,45.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,36.0,10.0,57.0,0.6666666666666666
978,Pozzovivo Domenico,Bahrain Merida,2019,,,2657.0,Pozzovivo Domenico-2019,368.0,540.0,57.5,50.0,2.9523809523809526,138.1904761904762,2478.0476190476193,340.0,464.0,45.0,0.6666666666666666
938,Zeits Andrey,Astana Pro Team,2019,,,4562.0,Zeits Andrey-2019,33.0,103.0,,20.0,2.9523809523809526,138.1904761904762,2478.0476190476193,0.0,54.0,53.0,0.6666666666666666
671,Pozzovivo Domenico,Bahrain Merida Pro Cycling Team,2018,35.0,tour-de-france,3094.0,Pozzovivo Domenico-2018,159.0,640.0,50.7,50.0,3.142857142857143,135.47619047619048,2437.4761904761904,340.0,464.0,51.0,0.6363636363636364
735,Mori Manuele,UAE Team Emirates,2018,,,3589.0,Mori Manuele-2018,21.0,,30.0,,3.142857142857143,135.47619047619048,2437.4761904761904,,34.0,60.0,0.6363636363636364
707,Zeits Andrey,Astana Pro Team,2018,,,3870.0,Zeits Andrey-2018,15.0,118.0,,,3.142857142857143,135.47619047619048,2437.4761904761904,0.0,54.0,58.0,0.6363636363636364
678,Visconti Giovanni,Bahrain Merida Pro Cycling Team,2018,,,3094.0,Visconti Giovanni-2018,205.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,94.0,72.0,51.0,0.6363636363636364
654,Hansen Adam,Lotto Fix All,2018,,,3137.0,Hansen Adam-2018,,81.0,,,3.142857142857143,135.47619047619048,2437.4761904761904,36.0,10.0,53.0,0.6363636363636364
656,Bak Lars Ytting,Lotto Fix All,2018,,,3137.0,Bak Lars Ytting-2018,33.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,36.0,10.0,53.0,0.6363636363636364
317,Visconti Giovanni,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Visconti Giovanni-2017,385.0,,104.8,68.0,2.9523809523809526,134.28571428571428,2570.6190476190477,94.0,72.0,53.0,0.6363636363636364
1476,Visconti Giovanni,Vini Zabù - KTM,2020,,,581.0,Visconti Giovanni-2020,381.0,,51.0,,2.8095238095238093,151.0952380952381,2630.904761904762,94.0,72.0,74.0,0.6153846153846154
1791,Visconti Giovanni,Bardiani-CSF-Faizanè,2021,,,644.0,Visconti Giovanni-2021,90.0,,41.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,94.0,72.0,89.0,0.5714285714285714
446,Zeits Andrey,Astana Pro Team,2017,30.0,tour-de-france,1765.0,Zeits Andrey-2017,100.0,100.0,,10.0,2.9523809523809526,134.28571428571428,2570.6190476190477,0.0,54.0,33.0,0.5454545454545454
432,Capecchi Eros,Quick-Step Floors,2017,,,3229.0,Capecchi Eros-2017,15.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,314.0,215.0,30.0,0.5454545454545454
693,Antón Igor,Team Dimension Data,2018,,,1425.0,Antón Igor-2018,17.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,43.0,0.0,42.0,0.5454545454545454
677,Siutsou Kanstantsin,Bahrain Merida Pro Cycling Team,2018,,,3094.0,Siutsou Kanstantsin-2018,,,,21.0,3.142857142857143,135.47619047619048,2437.4761904761904,42.0,10.0,51.0,0.5454545454545454
641,Tuft Svein,Mitchelton-Scott,2018,,,3123.0,Tuft Svein-2018,,,,46.0,3.142857142857143,135.47619047619048,2437.4761904761904,30.0,193.0,55.0,0.5454545454545454
461,Montaguti Matteo,AG2R La Mondiale,2017,,,1603.0,Montaguti Matteo-2017,84.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,42.0,20.0,32.0,0.5454545454545454
549,Hansen Adam,Lotto Soudal,2017,36.0,tour-de-france,2722.0,Hansen Adam-2017,,145.0,,,2.9523809523809526,134.28571428571428,2570.6190476190477,36.0,10.0,51.0,0.5454545454545454
555,Bak Lars Ytting,Lotto Soudal,2017,37.0,tour-de-france,2722.0,Bak Lars Ytting-2017,35.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,36.0,10.0,51.0,0.5454545454545454
456,Pozzovivo Domenico,AG2R La Mondiale,2017,,,1603.0,Pozzovivo Domenico-2017,54.0,387.0,31.0,,2.9523809523809526,134.28571428571428,2570.6190476190477,340.0,464.0,32.0,0.5454545454545454
626,Kiryienka Vasil,Team Sky,2018,,,4577.0,Kiryienka Vasil-2018,77.0,,,704.0,3.142857142857143,135.47619047619048,2437.4761904761904,117.0,120.0,60.0,0.5454545454545454
1198,Boaro Manuele,Astana Pro Team,2020,,,2840.0,Boaro Manuele-2020,14.0,48.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,10.0,10.0,68.0,0.5384615384615384
1269,Brambilla Gianluca,Trek - Segafredo,2020,,,1339.0,Brambilla Gianluca-2020,77.0,100.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,,70.0,38.0,0.5384615384615384
1515,Ulissi Diego,UAE Team Emirates,2021,,,1562.0,Ulissi Diego-2021,247.0,566.0,181.1,19.0,2.8095238095238093,153.8095238095238,2261.7619047619046,,30.0,42.0,0.5
1057,Sabatini Fabio,Deceuninck - Quick Step,2019,,,4138.0,Sabatini Fabio-2019,20.0,,39.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,,243.0,53.0,0.5
1757,Sabatini Fabio,Cofidis,2021,,,937.0,Sabatini Fabio-2021,8.0,,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,243.0,45.0,0.5
1039,Brambilla Gianluca,Trek - Segafredo,2019,,,2435.0,Brambilla Gianluca-2019,117.0,294.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,70.0,55.0,0.5
1788,Battaglin Enrico,Bardiani-CSF-Faizanè,2021,,,644.0,Battaglin Enrico-2021,67.0,23.0,87.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,158.0,220.0,89.0,0.5
1606,Brambilla Gianluca,Trek - Segafredo,2021,,,2367.0,Brambilla Gianluca-2021,54.0,87.0,14.7,,2.8095238095238093,153.8095238095238,2261.7619047619046,,70.0,70.0,0.5
1596,Puccio Salvatore,INEOS Grenadiers,2021,,,2917.0,Puccio Salvatore-2021,5.0,28.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,77.0,98.0,45.0,0.5
941,Boaro Manuele,Astana Pro Team,2019,,,4562.0,Boaro Manuele-2019,,28.0,,10.0,2.9523809523809526,138.1904761904762,2478.0476190476193,10.0,10.0,53.0,0.5
1258,Puccio Salvatore,INEOS Grenadiers,2020,,,1676.0,Puccio Salvatore-2020,15.0,54.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,77.0,98.0,47.0,0.4615384615384615
1379,Battaglin Enrico,Bahrain - McLaren,2020,,,717.0,Battaglin Enrico-2020,39.0,55.0,72.2,,2.8095238095238093,151.0952380952381,2630.904761904762,158.0,220.0,36.0,0.4615384615384615
1236,Ulissi Diego,UAE Team Emirates,2020,,,1982.0,Ulissi Diego-2020,540.0,550.0,221.0,57.0,2.8095238095238093,151.0952380952381,2630.904761904762,,30.0,53.0,0.4615384615384615
1474,Frapporti Marco,Vini Zabù - KTM,2020,,,581.0,Frapporti Marco-2020,,23.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,,30.0,74.0,0.4615384615384615
321,Siutsou Kanstantsin,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Siutsou Kanstantsin-2017,57.0,,,50.0,2.9523809523809526,134.28571428571428,2570.6190476190477,42.0,10.0,53.0,0.4545454545454545
603,Antón Igor,Team Dimension Data,2017,,,2158.0,Antón Igor-2017,76.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,43.0,0.0,51.0,0.4545454545454545
674,Boaro Manuele,Bahrain Merida Pro Cycling Team,2018,,,3094.0,Boaro Manuele-2018,,45.0,,18.0,3.142857142857143,135.47619047619048,2437.4761904761904,10.0,10.0,51.0,0.4545454545454545
826,Sabatini Fabio,Quick-Step Floors,2018,,,3559.0,Sabatini Fabio-2018,15.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,,243.0,43.0,0.4545454545454545
352,Kiryienka Vasil,Team Sky,2017,36.0,tour-de-france,2722.0,Kiryienka Vasil-2017,,,,436.0,2.9523809523809526,134.28571428571428,2570.6190476190477,117.0,120.0,40.0,0.4545454545454545
778,Brambilla Gianluca,Trek - Segafredo,2018,,,1747.0,Brambilla Gianluca-2018,134.0,33.0,44.0,,3.142857142857143,135.47619047619048,2437.4761904761904,,70.0,47.0,0.4545454545454545
413,Tuft Svein,ORICA-Scott,2017,,,3035.0,Tuft Svein-2017,,,,87.0,2.9523809523809526,134.28571428571428,2570.6190476190477,30.0,193.0,46.0,0.4545454545454545
898,Belkov Maxim,Team Katusha Alpecin,2018,,,1595.0,Belkov Maxim-2018,,,,25.0,3.142857142857143,135.47619047619048,2437.4761904761904,0.0,0.0,47.0,0.4545454545454545
1531,Nieve Mikel,Team BikeExchange,2021,,,1263.0,Nieve Mikel-2021,,268.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,315.0,40.0,0.4285714285714285
1532,Kangert Tanel,Team BikeExchange,2021,,,1263.0,Kangert Tanel-2021,111.0,165.0,11.0,146.0,2.8095238095238093,153.8095238095238,2261.7619047619046,86.0,54.0,40.0,0.4285714285714285
1006,Ulissi Diego,UAE Team Emirates,2019,,,3489.0,Ulissi Diego-2019,230.0,477.0,123.0,58.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,30.0,57.0,0.4166666666666667
1029,Knees Christian,Team INEOS,2019,,,2042.0,Knees Christian-2019,23.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,98.0,28.0,0.4166666666666667
1028,Puccio Salvatore,Team INEOS,2019,,,2042.0,Puccio Salvatore-2019,16.0,55.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,77.0,98.0,28.0,0.4166666666666667
922,Nieve Mikel,Mitchelton-Scott,2019,,,3354.0,Nieve Mikel-2019,100.0,206.0,,16.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,315.0,53.0,0.4166666666666667
1122,Ventoso Francisco José,CCC Team,2019,,,1152.0,Ventoso Francisco José-2019,18.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,20.0,42.0,36.0,0.4166666666666667
1106,Battaglin Enrico,Team Katusha Alpecin,2019,,,1799.0,Battaglin Enrico-2019,95.0,39.0,221.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,158.0,220.0,58.0,0.4166666666666667
1085,Modolo Sacha,EF Education First,2019,,,1626.0,Modolo Sacha-2019,179.0,25.0,465.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,160.0,305.0,36.0,0.4166666666666667
1099,Frapporti Marco,Androni Giocattoli - Sidermec,2019,,,2502.0,Frapporti Marco-2019,32.0,20.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,30.0,92.0,0.4166666666666667
1333,Haga Chad,Team Sunweb,2020,,,1708.0,Haga Chad-2020,18.0,53.0,,333.0,2.8095238095238093,151.0952380952381,2630.904761904762,138.0,52.0,51.0,0.3846153846153846
1362,Kangert Tanel,EF Pro Cycling,2020,,,736.0,Kangert Tanel-2020,30.0,220.0,,288.0,2.8095238095238093,151.0952380952381,2630.904761904762,86.0,54.0,30.0,0.3846153846153846
624,Puccio Salvatore,Team Sky,2018,,,4577.0,Puccio Salvatore-2018,23.0,60.0,,13.0,3.142857142857143,135.47619047619048,2437.4761904761904,77.0,98.0,60.0,0.3636363636363636
628,Knees Christian,Team Sky,2018,,,4577.0,Knees Christian-2018,18.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,,98.0,60.0,0.3636363636363636
709,Kangert Tanel,Astana Pro Team,2018,31.0,tour-de-france,3870.0,Kangert Tanel-2018,,,,15.0,3.142857142857143,135.47619047619048,2437.4761904761904,86.0,54.0,58.0,0.3636363636363636
636,Nieve Mikel,Mitchelton-Scott,2018,34.0,tour-de-france,3123.0,Nieve Mikel-2018,84.0,336.0,,,3.142857142857143,135.47619047619048,2437.4761904761904,,315.0,55.0,0.3636363636363636
442,Kangert Tanel,Astana Pro Team,2017,,,1765.0,Kangert Tanel-2017,176.0,418.0,,48.0,2.9523809523809526,134.28571428571428,2570.6190476190477,86.0,54.0,33.0,0.3636363636363636
364,Modolo Sacha,UAE Team Emirates,2017,,,2871.0,Modolo Sacha-2017,78.0,61.0,659.4,,2.9523809523809526,134.28571428571428,2570.6190476190477,160.0,305.0,56.0,0.3636363636363636
730,Ulissi Diego,UAE Team Emirates,2018,,,3589.0,Ulissi Diego-2018,634.0,525.0,278.0,73.0,3.142857142857143,135.47619047619048,2437.4761904761904,,30.0,60.0,0.3636363636363636
749,Battaglin Enrico,Team LottoNL-Jumbo,2018,,,2138.0,Battaglin Enrico-2018,122.0,39.0,159.2,,3.142857142857143,135.47619047619048,2437.4761904761904,158.0,220.0,45.0,0.3636363636363636
794,Modolo Sacha,Team EF Education First-Drapac p/b Cannondale,2018,,,1784.0,Modolo Sacha-2018,314.0,30.0,588.6,,3.142857142857143,135.47619047619048,2437.4761904761904,160.0,305.0,47.0,0.3636363636363636
861,Frapporti Marco,Androni Giocattoli - Sidermec,2018,,,1751.0,Frapporti Marco-2018,117.0,,,21.0,3.142857142857143,135.47619047619048,2437.4761904761904,,30.0,92.0,0.3636363636363636
336,Morabito Steve,FDJ,2017,,,1979.0,Morabito Steve-2017,17.0,,,42.0,2.9523809523809526,134.28571428571428,2570.6190476190477,10.0,0.0,53.0,0.3636363636363636
875,Ventoso Francisco José,BMC Racing Team,2018,,,2887.0,Ventoso Francisco José-2018,47.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,20.0,42.0,42.0,0.3636363636363636
315,Boaro Manuele,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Boaro Manuele-2017,,90.0,,192.0,2.9523809523809526,134.28571428571428,2570.6190476190477,10.0,10.0,53.0,0.3636363636363636
529,Belkov Maxim,Team Katusha Alpecin,2017,,,1844.0,Belkov Maxim-2017,,,,25.0,2.9523809523809526,134.28571428571428,2570.6190476190477,0.0,0.0,42.0,0.3636363636363636
1667,Villella Davide,Movistar Team,2021,,,1241.0,Villella Davide-2021,47.0,32.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,34.0,54.0,47.0,0.3571428571428571
1517,Dombrowski Joe,UAE Team Emirates,2021,,,1562.0,Dombrowski Joe-2021,,20.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,24.0,0.0,42.0,0.3571428571428571
1752,Viviani Elia,Cofidis,2021,,,937.0,Viviani Elia-2021,129.0,50.0,304.4,,2.8095238095238093,153.8095238095238,2261.7619047619046,,743.0,45.0,0.3571428571428571
1516,Formolo Davide,UAE Team Emirates,2021,28.0,tour-de-france,1562.0,Formolo Davide-2021,178.0,69.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,251.0,286.0,42.0,0.3571428571428571
1654,Benedetti Cesare,BORA - hansgrohe,2021,,,2007.0,Benedetti Cesare-2021,13.0,25.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,53.0,30.0,45.0,0.3571428571428571
1783,Gavazzi Francesco,EOLO-Kometa,2021,,,124.0,Gavazzi Francesco-2021,24.0,,9.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,,64.0,66.0,0.3571428571428571
