rider,finished,year
Coledan Marco,0.2727272727272727,2018
Zhupa Eugert,0.2727272727272727,2018
Gavazzi Francesco,0.2727272727272727,2018
De Marchi Alessandro,0.2727272727272727,2018
Formolo Davide,0.2727272727272727,2018
Atapuma Darwin,0.2727272727272727,2018
Zardini Edoardo,0.2727272727272727,2018
Kreuziger Roman,0.2727272727272727,2018
Haga Chad,0.2727272727272727,2018
Irizar Markel,0.2727272727272727,2018
Aru Fabio,0.2727272727272727,2018
Preidler Georg,0.2727272727272727,2018
Hermans Ben,0.18181818181818182,2018
Wellens Tim,0.18181818181818182,2018
Dumoulin Tom,0.09090909090909091,2018
Valls Rafael,0.09090909090909091,2018
Cattaneo Mattia,0.09090909090909091,2018
de la Cruz David,0.09090909090909091,2018
Roy Jérémy,0.18181818181818182,2018
Bewley Sam,0.18181818181818182,2018
Mørkøv Michael,0.18181818181818182,2018
Brown Nathan,0.18181818181818182,2018
Kuznetsov Viacheslav,0.18181818181818182,2018
Mohorič Matej,0.18181818181818182,2018
Andreetta Simone,0.18181818181818182,2018
Froome Chris,0.09090909090909091,2018
Senni Manuel,0.18181818181818182,2018
Benedetti Cesare,0.18181818181818182,2018
Conti Valerio,0.18181818181818182,2018
Roux Anthony,0.09090909090909091,2018
Sbaragli Kristian,0.18181818181818182,2018
Chaves Esteban,0.18181818181818182,2018
ten Dam Laurens,0.18181818181818182,2018
Cherel Mikaël,0.09090909090909091,2018
Sánchez Luis León,0.18181818181818182,2018
Ciccone Giulio,0.09090909090909091,2018
Maestri Mirco,0.18181818181818182,2018
Henao Sergio,0.18181818181818182,2018
Pantano Jarlinson,0.18181818181818182,2018
Reichenbach Sébastien,0.09090909090909091,2018
Plaza Rubén,0.18181818181818182,2018
Armée Sander,0.18181818181818182,2018
Dombrowski Joe,0.18181818181818182,2018
Elissonde Kenny,0.09090909090909091,2018
Marcato Marco,0.18181818181818182,2018
Mareczko Jakub,0.0,2018
Fonzi Giuseppe,0.09090909090909091,2018
Jauregui Quentin,0.09090909090909091,2018
Janse van Rensburg Jacques,0.09090909090909091,2018
Docker Mitchell,0.0,2018
Hirt Jan,0.09090909090909091,2018
Lammertink Maurits,0.09090909090909091,2018
Simion Paolo,0.09090909090909091,2018
Roelandts Jürgen,0.0,2018
Bennett Sam,0.09090909090909091,2018
Pedersen Mads,0.09090909090909091,2018
Selig Rüdiger,0.0,2018
Laengen Vegard Stake,0.09090909090909091,2018
Campenaerts Victor,0.0,2018
Quintana Dayer,0.09090909090909091,2018
Vervaeke Louis,0.0,2018
Gibbons Ryan,0.0,2018
Carthy Hugh,0.09090909090909091,2018
Bilbao Pello,0.09090909090909091,2018
Bennett George,0.09090909090909091,2018
Schillinger Andreas,0.09090909090909091,2018
Ladagnous Matthieu,0.09090909090909091,2018
Fernández Rubén,0.09090909090909091,2018
Berhane Natnael,0.09090909090909091,2018
Woods Michael,0.09090909090909091,2018
Torres Rodolfo Andrés,0.09090909090909091,2018
Gonçalves José,0.09090909090909091,2018
Lindeman Bert-Jan,0.09090909090909091,2018
Konrad Patrick,0.09090909090909091,2018
Bertazzo Liam,0.0,2018
Van der Sande Tosh,0.09090909090909091,2018
de la Parte Víctor,0.09090909090909091,2018
Bidard François,0.09090909090909091,2018
Venter Jaco,0.09090909090909091,2018
Dowsett Alex,0.09090909090909091,2018
Martin Tony,0.09090909090909091,2018
Gesink Robert,0.0,2018
Guardini Andrea,0.09090909090909091,2018
Dennis Rohan,0.0,2018
Poels Wout,0.09090909090909091,2018
Großschartner Felix,0.09090909090909091,2018
Pinot Thibaut,0.09090909090909091,2018
Pozzovivo Domenico,0.6666666666666666,2019
Dupont Hubert,0.9166666666666666,2019
Hansen Adam,0.6666666666666666,2019
Capecchi Eros,0.6666666666666666,2019
Sabatini Fabio,0.5,2019
Cataldo Dario,0.5833333333333334,2019
Belletti Manuel,0.16666666666666666,2019
Montaguti Matteo,0.6666666666666666,2019
Agnoli Valerio,0.5833333333333334,2019
Modolo Sacha,0.4166666666666667,2019
Zeits Andrey,0.6666666666666666,2019
Battaglin Enrico,0.4166666666666667,2019
Ventoso Francisco José,0.4166666666666667,2019
Nibali Vincenzo,0.5833333333333334,2019
van Emden Jos,0.5833333333333334,2019
Gasparotto Enrico,0.5,2019
Boaro Manuele,0.5,2019
Kangert Tanel,0.3333333333333333,2019
Amador Andrey,0.5,2019
Nizzolo Giacomo,0.4166666666666667,2019
Brambilla Gianluca,0.5,2019
Ulissi Diego,0.4166666666666667,2019
Nieve Mikel,0.4166666666666667,2019
Puccio Salvatore,0.4166666666666667,2019
Ludvigsson Tobias,0.3333333333333333,2019
Knees Christian,0.4166666666666667,2019
Frapporti Marco,0.4166666666666667,2019
Wyss Danilo,0.4166666666666667,2019
Viviani Elia,0.3333333333333333,2019
Gastauer Ben,0.3333333333333333,2019
Renshaw Mark,0.08333333333333333,2019
Villella Davide,0.25,2019
Formolo Davide,0.3333333333333333,2019
Gavazzi Francesco,0.3333333333333333,2019
Juul-Jensen Christopher,0.3333333333333333,2019
Landa Mikel,0.25,2019
Henao Sebastián,0.3333333333333333,2019
Haga Chad,0.3333333333333333,2019
Serry Pieter,0.25,2019
Konovalovas Ignatas,0.3333333333333333,2019
Barbin Enrico,0.25,2019
Irizar Markel,0.3333333333333333,2019
Polanc Jan,0.3333333333333333,2019
Bookwalter Brent,0.25,2019
Bole Grega,0.16666666666666666,2019
Senni Manuel,0.16666666666666666,2019
Dumoulin Tom,0.16666666666666666,2019
Ciccone Giulio,0.16666666666666666,2019
Marcato Marco,0.25,2019
Santaromita Ivan,0.16666666666666666,2019
Zakarin Ilnur,0.16666666666666666,2019
Navarro Daniel,0.25,2019
Benedetti Cesare,0.25,2019
ten Dam Laurens,0.25,2019
Conti Valerio,0.25,2019
Dombrowski Joe,0.25,2019
Plaza Rubén,0.25,2019
Rojas José Joaquín,0.16666666666666666,2019
Durbridge Luke,0.16666666666666666,2019
Maestri Mirco,0.16666666666666666,2019
Kuznetsov Viacheslav,0.25,2019
Majka Rafał,0.25,2019
Chaves Esteban,0.25,2019
Cattaneo Mattia,0.16666666666666666,2019
Caruso Damiano,0.25,2019
Bakelants Jan,0.25,2019
Mareczko Jakub,0.0,2019
Brown Nathan,0.25,2019
Sbaragli Kristian,0.25,2019
Vanendert Jelle,0.08333333333333333,2019
de la Parte Víctor,0.16666666666666666,2019
Breschel Matti,0.08333333333333333,2019
Kluge Roger,0.16666666666666666,2019
Bilbao Pello,0.16666666666666666,2019
Izagirre Ion,0.16666666666666666,2019
Selig Rüdiger,0.0,2019
Jungels Bob,0.16666666666666666,2019
Campenaerts Victor,0.0,2019
Gibbons Ryan,0.08333333333333333,2019
Hirt Jan,0.16666666666666666,2019
Poljański Paweł,0.16666666666666666,2019
Mollema Bauke,0.16666666666666666,2019
Owsian Łukasz,0.16666666666666666,2019
Carthy Hugh,0.16666666666666666,2019
Ewan Caleb,0.0,2019
De Gendt Thomas,0.16666666666666666,2019
Bidard François,0.16666666666666666,2019
Van der Sande Tosh,0.08333333333333333,2019
Canola Marco,0.16666666666666666,2019
Martens Paul,0.16666666666666666,2019
Simion Paolo,0.16666666666666666,2019
McCarthy Jay,0.16666666666666666,2019
Vervaeke Louis,0.0,2019
Démare Arnaud,0.0,2019
Sütterlin Jasha,0.08333333333333333,2019
O'Connor Ben,0.0,2019
Leezer Tom,0.0,2019
Oomen Sam,0.08333333333333333,2019
Niv Guy,0.0,2019
De Buyst Jasper,0.0,2019
Bauer Jack,0.08333333333333333,2019
Masnada Fausto,0.08333333333333333,2019
De Plus Laurens,0.08333333333333333,2019
Nibali Antonio,0.08333333333333333,2019
Rota Lorenzo,0.08333333333333333,2019
Hamilton Chris,0.08333333333333333,2019
Le Gac Olivier,0.08333333333333333,2019
Denz Nico,0.08333333333333333,2019
Yates Simon,0.08333333333333333,2019
Vuillermoz Alexis,0.08333333333333333,2019
Lobato Juan José,0.0,2019
López Miguel Ángel,0.08333333333333333,2019
Bouwman Koen,0.08333333333333333,2019
Koren Kristijan,0.08333333333333333,2019
Gaviria Fernando,0.08333333333333333,2019
Neilands Krists,0.08333333333333333,2019
Pedrero Antonio,0.08333333333333333,2019
Warbasse Larry,0.0,2019
Vendrame Andrea,0.08333333333333333,2019
Roglič Primož,0.08333333333333333,2019
Hollenstein Reto,0.0,2019
Sénéchal Florian,0.08333333333333333,2019
Boivin Guillaume,0.08333333333333333,2019
Carapaz Richard,0.08333333333333333,2019
Pozzovivo Domenico,0.6923076923076923,2020
Capecchi Eros,0.6923076923076923,2020
Hansen Adam,0.6923076923076923,2020
Cataldo Dario,0.6153846153846154,2020
Visconti Giovanni,0.6153846153846154,2020
Battaglin Enrico,0.46153846153846156,2020
van Emden Jos,0.6153846153846154,2020
Nibali Vincenzo,0.6153846153846154,2020
Kruijswijk Steven,0.38461538461538464,2020
Brambilla Gianluca,0.5384615384615384,2020
Kangert Tanel,0.38461538461538464,2020
Boaro Manuele,0.5384615384615384,2020
Ulissi Diego,0.46153846153846156,2020
Wyss Danilo,0.46153846153846156,2020
Frapporti Marco,0.46153846153846156,2020
Puccio Salvatore,0.46153846153846156,2020
Viviani Elia,0.3076923076923077,2020
Gastauer Ben,0.38461538461538464,2020
Haga Chad,0.38461538461538464,2020
Weening Pieter,0.3076923076923077,2020
Serry Pieter,0.3076923076923077,2020
Konovalovas Ignatas,0.3076923076923077,2020
Villella Davide,0.3076923076923077,2020
Richeze Maximiliano,0.3076923076923077,2020
Bookwalter Brent,0.23076923076923078,2020
Zakarin Ilnur,0.23076923076923078,2020
Ciccone Giulio,0.23076923076923078,2020
Keisse Iljo,0.3076923076923077,2020
Hepburn Michael,0.3076923076923077,2020
Felline Fabio,0.3076923076923077,2020
Benedetti Cesare,0.3076923076923077,2020
Dombrowski Joe,0.3076923076923077,2020
Majka Rafał,0.3076923076923077,2020
Conti Valerio,0.23076923076923078,2020
Zardini Edoardo,0.23076923076923078,2020
Meyer Cameron,0.15384615384615385,2020
Navarro Daniel,0.23076923076923078,2020
Campenaerts Victor,0.07692307692307693,2020
Kochetkov Pavel,0.15384615384615385,2020
Haas Nathan,0.07692307692307693,2020
Démare Arnaud,0.07692307692307693,2020
Armée Sander,0.23076923076923078,2020
Bidard François,0.23076923076923078,2020
Bisolti Alessandro,0.23076923076923078,2020
Bilbao Pello,0.23076923076923078,2020
Poljański Paweł,0.23076923076923078,2020
Kelderman Wilco,0.15384615384615385,2020
de la Parte Víctor,0.23076923076923078,2020
Brändle Matthias,0.15384615384615385,2020
Thomas Geraint,0.15384615384615385,2020
De Gendt Thomas,0.23076923076923078,2020
Pedrero Antonio,0.15384615384615385,2020
López Miguel Ángel,0.15384615384615385,2020
Bodnar Maciej,0.15384615384615385,2020
Oomen Sam,0.07692307692307693,2020
Gaviria Fernando,0.07692307692307693,2020
Dowsett Alex,0.15384615384615385,2020
Yates Simon,0.15384615384615385,2020
Dennis Rohan,0.07692307692307693,2020
Swift Ben,0.15384615384615385,2020
Denz Nico,0.15384615384615385,2020
Matthews Michael,0.0,2020
Nibali Antonio,0.15384615384615385,2020
Zabel Rick,0.15384615384615385,2020
Warbasse Larry,0.07692307692307693,2020
O'Connor Ben,0.07692307692307693,2020
Martin Tony,0.15384615384615385,2020
Masnada Fausto,0.15384615384615385,2020
Clarke Simon,0.15384615384615385,2020
Vendrame Andrea,0.15384615384615385,2020
Arashiro Yukiya,0.15384615384615385,2020
Bouwman Koen,0.15384615384615385,2020
Konrad Patrick,0.15384615384615385,2020
Hamilton Chris,0.15384615384615385,2020
Rosskopf Joey,0.15384615384615385,2020
Rota Lorenzo,0.15384615384615385,2020
Howson Damien,0.07692307692307693,2020
Chirico Luca,0.07692307692307693,2020
Geoghegan Hart Tao,0.0,2020
Covili Luca,0.07692307692307693,2020
Tolhoek Antwan,0.07692307692307693,2020
Bennett Sean,0.07692307692307693,2020
Scotson Miles,0.07692307692307693,2020
Meintjes Louis,0.0,2020
Carboni Giovanni,0.07692307692307693,2020
Pfingsten Christoph,0.07692307692307693,2020
Gradek Kamil,0.07692307692307693,2020
Consonni Simone,0.07692307692307693,2020
Honoré Mikkel Frølich,0.07692307692307693,2020
Cimolai Davide,0.07692307692307693,2020
Hamilton Lucas,0.07692307692307693,2020
Carretero Héctor,0.07692307692307693,2020
Gallopin Tony,0.0,2020
Castroviejo Jonathan,0.07692307692307693,2020
Tratnik Jan,0.07692307692307693,2020
Tonelli Alessandro,0.0,2020
Hindley Jai,0.07692307692307693,2020
Bernard Julien,0.07692307692307693,2020
Mosca Jacopo,0.07692307692307693,2020
Ballerini Davide,0.07692307692307693,2020
Guarnieri Jacopo,0.07692307692307693,2020
Sagiv Guy,0.07692307692307693,2020
Haig Jack,0.07692307692307693,2020
Sepúlveda Eduardo,0.07692307692307693,2020
Ghebreigzabhier Amanuel,0.07692307692307693,2020
Fuglsang Jakob,0.07692307692307693,2020
Narváez Jhonatan,0.07692307692307693,2020
Novak Domen,0.07692307692307693,2020
Lonardi Giovanni,0.0,2020
Černý Josef,0.07692307692307693,2020
Conci Nicola,0.07692307692307693,2020
Hansen Jesper,0.07692307692307693,2020
Knox James,0.0,2020
Molano Juan Sebastián,0.0,2020
Caicedo Jonathan Klever,0.07692307692307693,2020
Frankiny Kilian,0.07692307692307693,2020
Sinkeldam Ramon,0.07692307692307693,2020
Pozzovivo Domenico,0.7142857142857143,2021
Visconti Giovanni,0.5714285714285714,2021
Cataldo Dario,0.6428571428571429,2021
Sabatini Fabio,0.5,2021
van Emden Jos,0.5714285714285714,2021
Battaglin Enrico,0.5,2021
Belletti Manuel,0.21428571428571427,2021
Nibali Vincenzo,0.6428571428571429,2021
Brambilla Gianluca,0.5,2021
Kangert Tanel,0.42857142857142855,2021
Ulissi Diego,0.5,2021
Puccio Salvatore,0.5,2021
